City,State,Latitude,Longitude
Birmingham,Alabama,33.5207,-86.8025
Phoenix,Arizona,33.4484,-112.0740
Little Rock,Arkansas,34.7465,-92.2896
Los Angeles,California,34.0522,-118.2437
Denver,Colorado,39.7392,-104.9903
Bridgeport,Connecticut,41.1865,-73.1952
Washington,D.C.,38.910,-77.020
Wilmington,Delaware,39.7391,-75.5398
Jacksonville,Florida,30.3322,-81.6557
Atlanta,Georgia,33.7490,-84.3880
Boise,Idaho,43.6150,-116.2023
Chicago,Illinois,41.8781,-87.6298
Indianapolis,Indiana,39.7684,-86.1581
Des Moines,Iowa,41.5868,-93.6250
Wichita,Kansas,37.6872,-97.3301
Louisville,Kentucky,38.2527,-85.7585
New Orleans,Louisiana,29.9511,-90.0715
Portland,Maine,43.6591,-70.2568
Baltimore,Maryland,39.2904,-76.6122
Boston,Massachusetts,42.3601,-71.0589
Detroit,Michigan,42.3314,-83.0458
Minneapolis,Minnesota,44.9778,-93.2650
Jackson,Mississippi,32.2988,-90.1848
Kansas City,Missouri,39.0997,-94.5786
Billings,Montana,45.7833,-108.5007
Omaha,Nebraska,41.2565,-95.9345
Las Vegas,Nevada,36.1699,-115.1398
Manchester,New Hampshire,42.9956,-71.4548
Newark,New Jersey,40.7357,-74.1724
Albuquerque,New Mexico,35.0844,-106.6504
New York City,New York,40.7128,-74.0060
Charlotte,North Carolina,35.2271,-80.8431
Fargo,North Dakota,46.8772,-96.7898
Columbus,Ohio,39.9612,-82.9988
Oklahoma City,Oklahoma,35.4676,-97.5164
Portland,Oregon,45.5152,-122.6784
Philadelphia,Pennsylvania,39.9526,-75.1652
Providence,Rhode Island,41.8240,-71.4128
Charleston,South Carolina,32.7765,-79.9311
Sioux Falls,South Dakota,43.5446,-96.7311
Nashville,Tennessee,36.1627,-86.7816
Houston,Texas,29.7604,-95.3698
Salt Lake City,Utah,40.7608,-111.8910
Burlington,Vermont,44.4759,-73.2121
Virginia Beach,Virginia,36.8529,-75.9780
Seattle,Washington,47.6062,-122.3321
Charleston,West Virginia,38.3498,-81.6326
Milwaukee,Wisconsin,43.0389,-87.9065
Cheyenne,Wyoming,41.1400,-104.8202
