City,State,Latitude,Longitude
New York City,New York,40.670,-73.940
Los Angeles,California,34.110,-118.410
Chicago,Illinois,41.840,-87.680
Houston,Texas,29.741,-95.464
Phoenix,Arizona,33.540,-112.070
Philadelphia,Pennsylvania,40.010,-75.130
San Antonio,Texas,29.460,-98.510
San Diego,California,32.810,-117.140
Dallas,Texas,32.790,-96.770
San Jose,California,37.300,-121.850
Austin,Texas,30.310,-97.750
Jacksonville,Florida,30.330,-81.660
Fort Worth,Texas,32.750,-97.340
Columbus,Ohio,39.990,-82.990
Charlotte,North Carolina,35.200,-80.830
Indianapolis,Indiana,39.780,-86.150
San Francisco,California,37.770,-122.450
Seattle,Washington,47.620,-122.350
Denver,Colorado,39.770,-104.870
Washington,D.C.,38.910,-77.020
Nashville,Tennessee,36.170,-86.780
Oklahoma City,Oklahoma,35.470,-97.510
Boston,Massachusetts,42.340,-71.020
El Paso,Texas,31.851,-106.441
Portland,Oregon,45.540,-122.660
Las Vegas,Nevada,36.210,-115.220
Memphis,Tennessee,35.110,-90.010
Detroit,Michigan,42.380,-83.100
Baltimore,Maryland,39.300,-76.610
Milwaukee,Wisconsin,43.060,-87.970
Albuquerque,New Mexico,35.120,-106.620
Tucson,Arizona,32.200,-110.890
Fresno,California,36.780,-119.790
Sacramento,California,38.570,-121.470
Kansas City,Missouri,39.120,-94.550
Mesa,Arizona,33.420,-111.740
Atlanta,Georgia,33.760,-84.420
Omaha,Nebraska,41.260,-96.010
Colorado Springs,Colorado,38.860,-104.790
Raleigh,North Carolina,35.830,-78.640
Miami,Florida,25.780,-80.220
Long Beach,California,33.810,-118.150
Virginia Beach,Virginia,36.850,-76.280
Oakland,California,37.790,-122.230
Minneapolis,Minnesota,44.970,-93.260
Tulsa,Oklahoma,36.120,-95.930
Arlington,Texas,32.690,-97.130
New Orleans,Louisiana,29.970,-90.060
Wichita,Kansas,37.690,-97.340
